baslangic,bitis,getiri_%,sonuc_TL,islem_sayisi,max_dusus_%
2023-09-28,2024-07-31,5.06,2101.27,45,-5.23
2023-12-11,2024-10-09,2.32,2046.32,46,-6.45
2024-02-27,2024-12-25,-0.19,1996.13,44,-5.8
2024-05-17,2025-03-14,13.53,2270.64,41,-4.78
2024-07-31,2025-05-30,14.97,2299.38,43,-4.55
2024-10-09,2025-08-13,21.97,2439.38,43,-5.58
2024-12-25,2025-10-21,16.19,2323.87,48,-5.58
2025-03-14,2026-01-08,9.96,2199.1,50,-5.58
2025-05-30,2026-03-31,14.95,2299.04,49,-5.29
2025-08-13,2026-06-16,16.19,2323.72,49,-5.29
