baslangic,bitis,getiri_%,sonuc_TL,islem_sayisi,max_dusus_%
2023-09-28,2024-07-31,15.71,2314.22,12,-4.18
2023-12-11,2024-10-09,10.97,2219.44,16,-4.18
2024-02-27,2024-12-25,5.75,2115.03,17,-4.18
2024-05-17,2025-03-14,5.63,2112.51,14,-4.18
2024-07-31,2025-05-30,-0.07,1998.57,14,-8.27
2024-10-09,2025-08-13,6.69,2133.76,13,-10.08
2024-12-25,2025-10-21,3.76,2075.15,14,-10.08
2025-03-14,2026-01-08,-0.5,1990.01,20,-9.83
2025-05-30,2026-03-31,3.46,2069.12,20,-9.99
2025-08-13,2026-06-17,-2.05,1959.02,20,-10.63
